Name,Applicants total,Enrolled total,Tuition and fees,Costs of living on campus,Ranking,Ranking display
Illinois State University,15354.0,2981.0,13010.0,33699.0,1000+,1000+
Judson University,737.0,201.0,27530.0,40020.0,1000+,1000+
Knox College,2660.0,380.0,38952.0,49252.0,1000+,1000+
Lake Forest College,3684.0,403.0,39842.0,52000.0,1000+,1000+
Lewis University,5432.0,694.0,26780.0,39335.0,1000+,1000+
Lincoln College,1101.0,371.0,17500.0,30014.0,1000+,1000+
Loyola University Chicago,14355.0,2512.0,35573.0,51273.0,901-1000,top 1000
MacMurray College,1027.0,120.0,22400.0,32550.0,1000+,1000+
McKendree University,1617.0,387.0,26050.0,38290.0,1000+,1000+
Millikin University,3906.0,451.0,28644.0,40694.0,1000+,1000+
Monmouth College,2973.0,392.0,31500.0,42050.0,1000+,1000+
North Central College,4082.0,529.0,32613.0,44769.0,1000+,1000+
North Park University,3961.0,373.0,23350.0,35050.0,1000+,1000+
Northern Illinois University,25914.0,2679.0,12976.0,37438.0,1000+,1000+
Northwestern University,32060.0,2037.0,45527.0,63193.0,30,top 1000
Olivet Nazarene University,3719.0,753.0,29890.0,41490.0,1000+,1000+
Quincy University,1078.0,275.0,25834.0,39114.0,1000+,1000+
Robert Morris University Illinois,4080.0,719.0,22800.0,39114.0,1000+,1000+
Rockford University,1074.0,113.0,26710.0,38853.0,1000+,1000+
Roosevelt University,3370.0,444.0,26500.0,44632.0,1000+,1000+
Dominican University,3502.0,497.0,28810.0,39918.0,1000+,1000+
University of St Francis,1706.0,237.0,27970.0,40290.0,1000+,1000+
Saint Xavier University,10513.0,594.0,28970.0,41772.0,1000+,1000+
University of Illinois at Springfield,1469.0,316.0,9178.0,29698.0,1000+,1000+
Southern Illinois University-Carbondale,11634.0,2612.0,12093.0,38032.0,1000+,1000+
Southern Illinois University-Edwardsville,7646.0,1966.0,9666.0,34013.0,1000+,1000+
Trinity Christian College,583.0,205.0,24435.0,36820.0,1000+,1000+
Trinity International University-Illinois,446.0,182.0,26830.0,39680.0,1000+,1000+
Western Illinois University,10554.0,1652.0,11767.0,29276.0,1000+,1000+
Wheaton College,1959.0,598.0,30880.0,42390.0,1000+,1000+
Anderson University,2734.0,444.0,26280.0,39390.0,1000+,1000+
Ball State University,17118.0,3616.0,9160.0,37214.0,1000+,1000+
Bethel College-Indiana,1242.0,250.0,24970.0,35430.0,1000+,1000+
Butler University,9357.0,1015.0,34368.0,49698.0,1000+,1000+
DePauw University,5086.0,641.0,40640.0,53290.0,1000+,1000+
Earlham College,1890.0,254.0,41450.0,52710.0,1000+,1000+
University of Evansville,2935.0,543.0,30596.0,44370.0,1000+,1000+
Franklin College,2221.0,296.0,27695.0,40035.0,1000+,1000+
Goshen College,770.0,167.0,28500.0,40760.0,1000+,1000+
Grace College and Theological Seminary,3450.0,347.0,23970.0,33940.0,1000+,1000+
Hanover College,3174.0,334.0,31760.0,44150.0,1000+,1000+
Holy Cross College,715.0,157.0,25450.0,37484.0,1000+,1000+
Huntington University,784.0,227.0,24040.0,35520.0,1000+,1000+
Indiana University-Purdue University-Fort Wayne,3702.0,1660.0,7013.0,33313.0,1000+,1000+
Indiana University-Purdue University-Indianapolis,12230.0,3796.0,8756.0,42495.0,1000+,1000+
University of Indianapolis,5313.0,830.0,24660.0,38378.0,1000+,1000+
University of Southern Indiana,6204.0,1709.0,6698.0,28423.0,1000+,1000+
Indiana State University,11019.0,2661.0,8256.0,30355.0,1000+,1000+
Indiana University-South Bend,2456.0,921.0,6816.0,30042.0,1000+,1000+
Indiana University-Bloomington,37826.0,7604.0,10209.0,45961.0,1000+,1000+
Indiana University-Southeast,2097.0,1026.0,6700.0,30688.0,1000+,1000+
Manchester University,2195.0,359.0,27920.0,39742.0,1000+,1000+
Marian University,2064.0,338.0,28400.0,41219.0,1000+,1000+
Indiana Wesleyan University,3441.0,1437.0,23628.0,34588.0,1000+,1000+
University of Notre Dame,17647.0,2070.0,44605.0,60117.0,301-400,top 1000
Oakland City University,652.0,108.0,19200.0,30800.0,1000+,1000+
Purdue University-Calumet Campus,2591.0,827.0,6624.0,29563.0,1000+,1000+
University of Saint Francis-Fort Wayne,1908.0,388.0,25180.0,36492.0,1000+,1000+
Saint Josephs College,1639.0,273.0,27350.0,38050.0,1000+,1000+
Saint Mary-of-the-Woods College,325.0,64.0,27672.0,42362.0,1000+,1000+
Saint Mary's College,1529.0,437.0,34600.0,47660.0,1000+,1000+
Taylor University,1637.0,459.0,28753.0,39742.0,1000+,1000+
Trine University,2867.0,421.0,28850.0,45250.0,1000+,1000+
Valparaiso University,6124.0,876.0,33480.0,45860.0,1000+,1000+
Buena Vista University,1409.0,269.0,29448.0,40589.0,1000+,1000+
Central College,2842.0,309.0,30700.0,45151.0,1000+,1000+
Clarke University,1250.0,181.0,28000.0,40800.0,1000+,1000+
Coe College,2972.0,390.0,35730.0,47260.0,1000+,1000+
Cornell College,2204.0,261.0,36430.0,48905.0,1000+,1000+
Dordt College,1355.0,381.0,26540.0,38800.0,1000+,1000+
Drake University,5930.0,850.0,30889.0,44349.0,1000+,1000+
University of Dubuque,1457.0,447.0,25520.0,35530.0,1000+,1000+
Graceland University-Lamoni,1981.0,326.0,23530.0,35380.0,1000+,1000+
Grand View University,807.0,298.0,22628.0,33616.0,1000+,1000+
Grinnell College,3979.0,423.0,43656.0,56354.0,1000+,1000+
Iowa State University,16539.0,5366.0,7726.0,31472.0,501-600,top 1000
Iowa Wesleyan College,1319.0,103.0,25550.0,38738.0,1000+,1000+
University of Iowa,21642.0,4460.0,8061.0,39561.0,201-300,top 1000
Loras College,1873.0,414.0,28852.0,39077.0,1000+,1000+
Luther College,3490.0,628.0,37530.0,48435.0,1000+,1000+
Maharishi University of Management,74.0,19.0,26430.0,38630.0,1000+,1000+
Morningside College,3721.0,367.0,25990.0,38308.0,1000+,1000+
Mount Mercy University,542.0,154.0,26310.0,39075.0,1000+,1000+
University of Northern Iowa,4068.0,1722.0,7685.0,29376.0,1000+,1000+
Northwestern College,1221.0,284.0,26764.0,39236.0,1000+,1000+
Saint Ambrose University,2897.0,562.0,26740.0,40146.0,1000+,1000+
Simpson College,1302.0,377.0,30999.0,43350.0,1000+,1000+
Upper Iowa University,1229.0,218.0,24400.0,35910.0,1000+,1000+
Wartburg College,2268.0,451.0,34250.0,45305.0,1000+,1000+
William Penn University,836.0,264.0,23210.0,33706.0,1000+,1000+
Baker University,870.0,235.0,25580.0,39407.0,1000+,1000+
Benedictine College,3515.0,494.0,23900.0,37855.0,1000+,1000+
Bethany College,1139.0,184.0,23305.0,35205.0,1000+,1000+
Bethel College-North Newton,854.0,123.0,23500.0,35170.0,1000+,1000+
